Split,ERA,W,L,SV,SVOP,GP,GS,CG,IP,H,R,ER,HR,BB,K,OBA,Year,Player
All Splits,6.48,1,4,0,0,9,9,0,41.2,47,31,30,13,13,30,.276,2020,Madison Bumgarner
Home,5.65,1,1,0,0,3,3,0,14.1,16,10,9,4,4,8,.267,2020,Madison Bumgarner
Away,6.91,0,3,0,0,6,6,0,27.1,31,21,21,9,9,22,.282,2020,Madison Bumgarner
Day,4.15,1,1,0,0,4,4,0,17.1,13,8,8,5,3,18,.197,2020,Madison Bumgarner
Night,8.14,0,3,0,0,5,5,0,24.1,34,23,22,8,10,12,.327,2020,Madison Bumgarner
July,4.09,0,1,0,0,2,2,0,11.0,8,5,5,1,4,9,.200,2020,Madison Bumgarner
August,18.47,0,2,0,0,2,2,0,6.1,12,14,13,6,3,4,.387,2020,Madison Bumgarner
September,4.44,1,1,0,0,5,5,0,24.1,27,12,12,6,6,17,.273,2020,Madison Bumgarner
Last 7 Days,0.00,1,0,0,0,1,1,0,5.0,2,0,0,0,0,4,.111,2020,Madison Bumgarner
Last 15 Days,4.70,1,0,0,0,3,3,0,15.1,17,8,8,2,2,13,.274,2020,Madison Bumgarner
Last 30 Days,4.44,1,1,0,0,5,5,0,24.1,27,12,12,6,6,17,.273,2020,Madison Bumgarner
vs. COL,0.00,1,0,0,0,1,1,0,5.0,2,0,0,0,0,4,.111,2020,Madison Bumgarner
vs. HOU,6.75,0,1,0,0,2,2,0,9.1,9,8,7,2,3,9,.243,2020,Madison Bumgarner
vs. LAA,13.50,0,0,0,0,1,1,0,5.1,13,8,8,2,1,2,.481,2020,Madison Bumgarner
vs. LAD,3.60,0,0,0,0,1,1,0,5.0,7,2,2,2,2,2,.318,2020,Madison Bumgarner
vs. SD,10.57,0,2,0,0,2,2,0,7.2,9,9,9,4,4,6,.290,2020,Madison Bumgarner
vs. SF,4.50,0,1,0,0,1,1,0,4.0,3,2,2,2,2,2,.200,2020,Madison Bumgarner
vs. TEX,3.38,0,0,0,0,1,1,0,5.1,4,2,2,1,1,5,.200,2020,Madison Bumgarner
Angel Stadium,13.50,0,0,0,0,1,1,0,5.1,13,8,8,2,1,2,.481,2020,Madison Bumgarner
AT&T Park,4.50,0,1,0,0,1,1,0,4.0,3,2,2,2,2,2,.200,2020,Madison Bumgarner
Chase Field,5.65,1,1,0,0,3,3,0,14.1,16,10,9,4,4,8,.267,2020,Madison Bumgarner
Minute Maid Park,0.00,0,0,0,0,1,1,0,5.0,2,0,0,0,1,7,.118,2020,Madison Bumgarner
PETCO Park,10.57,0,2,0,0,2,2,0,7.2,9,9,9,4,4,6,.290,2020,Madison Bumgarner
All Splits,3.90,9,9,0,0,37,34,0,207.2,191,99,90,30,43,203,.245,2019,Madison Bumgarner
Home,2.93,6,2,0,0,19,19,0,122.2,93,43,40,15,21,120,.213,2019,Madison Bumgarner
Away,5.29,3,7,0,0,15,15,0,85.0,98,56,50,15,22,83,.286,2019,Madison Bumgarner
Day,3.80,3,4,0,0,10,10,0,64.0,57,30,27,8,13,71,.238,2019,Madison Bumgarner
Night,3.95,6,5,0,0,24,24,0,143.2,134,69,63,22,30,132,.248,2019,Madison Bumgarner
March,2.57,0,1,0,0,1,1,0,7.0,5,2,2,1,1,9,.208,2019,Madison Bumgarner
April,4.70,1,3,0,0,5,5,0,30.2,32,21,16,4,4,26,.269,2019,Madison Bumgarner
May,3.72,2,1,0,0,6,6,0,36.1,37,16,15,5,9,39,.264,2019,Madison Bumgarner
June,4.04,2,2,0,0,6,6,0,35.2,32,18,16,7,10,39,.241,2019,Madison Bumgarner
July,2.70,1,0,0,0,5,5,0,30.0,26,10,9,1,5,27,.239,2019,Madison Bumgarner
August,3.16,3,1,0,0,6,6,0,37.0,25,13,13,6,7,37,.191,2019,Madison Bumgarner
Last 7 Days,5.14,0,0,0,0,1,1,0,7.0,6,4,4,3,2,9,.240,2019,Madison Bumgarner
Last 15 Days,6.75,0,1,0,0,2,2,0,12.0,15,9,9,3,4,16,.300,2019,Madison Bumgarner
Last 30 Days,5.52,0,1,0,0,5,5,0,31.0,34,19,19,6,7,26,.274,2019,Madison Bumgarner
Opponent,ERA,W,L,SV,SVOP,GP,GS,CG,IP,H,R,ER,HR,BB,K,OBA,2019,Madison Bumgarner
vs. ARI,4.19,2,1,0,0,3,3,0,19.1,15,9,9,2,5,24,.211,2019,Madison Bumgarner
vs. ATL,3.00,0,0,0,0,1,1,0,6.0,6,2,2,1,2,6,.261,2019,Madison Bumgarner
vs. BOS,9.00,0,1,0,0,1,1,0,5.0,9,5,5,0,2,7,.360,2019,Madison Bumgarner
vs. CIN,4.50,0,0,0,0,1,1,0,6.0,8,4,3,1,0,7,.320,2019,Madison Bumgarner
vs. COL,4.65,3,0,0,0,5,5,0,31.0,31,16,16,9,7,37,.258,2019,Madison Bumgarner
vs. LAD,3.18,0,3,0,0,4,4,0,22.2,23,13,8,4,6,20,.258,2019,Madison Bumgarner
vs. MIA,2.77,0,1,0,0,2,2,0,13.0,10,4,4,1,1,7,.222,2019,Madison Bumgarner
vs. MIL,2.45,0,0,0,0,2,2,0,11.0,12,6,3,1,4,12,.279,2019,Madison Bumgarner
Batting #4,90,19,27,3,0,4,18,5,2,17,3,0,.300,.340,.467,.807,2019,Madison Bumgarner
Batting #8,70,9,17,3,0,4,9,9,0,12,1,1,.243,.325,.457,.782,2019,Madison Bumgarner
Batting #9,70,1,7,4,0,0,1,2,0,41,0,1,.100,.125,.157,.282,2019,Madison Bumgarner
Situation,AB,R,H,2B,3B,HR,RBI,BB,HBP,SO,SB,CS,AVG,OBP,SLG,OPS,2019,Madison Bumgarner
None On,501,21,115,26,1,21,21,23,5,128,0,0,.230,.270,.411,.681,2019,Madison Bumgarner
Inning Pitches,AB,R,H,2B,3B,HR,RBI,BB,HBP,SO,SB,CS,AVG,OBP,SLG,OPS,2019,Madison Bumgarner
1st Time Faced In Game,297,25,61,16,1,5,24,17,4,93,6,1,.205,.257,.316,.574,2019,Madison Bumgarner
2nd Time Faced In Game,266,42,72,10,2,16,42,14,4,68,3,1,.271,.314,.504,.817,2019,Madison Bumgarner
